data,cd,grupo,indicador,valor
03/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Planejadas PCP,
03/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),% Atingimento,
03/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Linhas Faturadas,
03/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Total Linhas Separadas (DUN + FRAC + Bancos),
03/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),% Atingimento Separação x Capacidade,
03/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado FRAC,
03/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado DUN,
03/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado Bancos,
03/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Backlog 18hrs do D-1,
03/06/2025,RS,8. Pedidos Consolidados,Pedidos Consolidados (sem bancos),
03/06/2025,RS,8. Pedidos Consolidados,Pedidos Consolidados (Só bancos),
03/06/2025,RS,8. Pedidos Consolidados,Total Consolidação,
03/06/2025,RS,8. Pedidos Consolidados,Pedidos Planejados,
03/06/2025,RS,8. Pedidos Consolidados,% Atingimento,
03/06/2025,RS,9. Faturamento,Faturamento Realizado,
03/06/2025,RS,9. Faturamento,% Atingimento,
03/06/2025,RS,6. Abastecimento,Abastecimento Realizado DUN,
03/06/2025,RS,6. Abastecimento,Abastecimento Projetado DUN,
03/06/2025,RS,6. Abastecimento,% Atingimento,
03/06/2025,RS,10. Coletas em Pulmão,Coletas Totais,
03/06/2025,RS,10. Coletas em Pulmão,Coletas em Pulmão,
03/06/2025,RS,10. Coletas em Pulmão,% Coletas em Pulmão,
03/06/2025,RS,11. Rupturas,Total de Rupturas,
03/06/2025,RS,11. Rupturas,# Mezanino,
03/06/2025,RS,11. Rupturas,% Mezanino,
03/06/2025,RS,11. Rupturas,# DUN,
03/06/2025,RS,11. Rupturas,% DUN,
03/06/2025,RS,11. Rupturas,# Painel,
03/06/2025,RS,11. Rupturas,% Painel de Integração,
03/06/2025,RS,12. Ocorrências no Cliente,Total de Ocorrências,
03/06/2025,RS,12. Ocorrências no Cliente,Falta de Item,
03/06/2025,RS,12. Ocorrências no Cliente,Troca de Item,
03/06/2025,RS,12. Ocorrências no Cliente,Avaria de Item,
03/06/2025,RS,12. Ocorrências no Cliente,Sobra de Item,
03/06/2025,RS,12. Ocorrências no Cliente,Ocorrência Média últimos 30 dias,
03/06/2025,RS,13. Custos de Avarias e Perdas,Perdas Totais,
03/06/2025,RS,13. Custos de Avarias e Perdas,R$ Avaria Interna,
03/06/2025,RS,13. Custos de Avarias e Perdas,R$ Extravios,
04/06/2025,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),
04/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.1 Demanda Total Pedidos (Programados para o dia + passivo),
04/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2 Pedidos Pendentes de consolidação  (Do dia + passivo),
04/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2.1 Pedidos da data (com bancos),
04/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2.2 Pedidos do Passivo,
04/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.3 Pedidos fora de carga (Ainda não estão na etapa do DUN),
04/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.4 Pedidos sem Nota Fiscal (ainda nas primeiras etapas do processo),
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos do dia,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atrasos Transportadoras - Pronto para embarque,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atrasos Operações Próprias - Pronto para embarque,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pendente de consolidação,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pronto Após o horário de corte - Pronto para embarque,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Operação Especial Sodexo,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Transferências,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Total Atrasos,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 1 dia,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 3 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 4 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 5 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 7 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 8 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 9 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 10 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 a 5 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 a 10 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 11 a 15 dias,
04/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - acima de 15 dias,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso de embarque Operações,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Operação Especial Sodexo,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Total Atrasos,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - até 1 dia,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 2 a 5 dias,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 6 a 10 dias,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 11 a 15 dias,
04/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - acima de 15 dias,
04/06/2025,SBC,5. Retorno para Reembarque,Retoro para Reembarque,
04/06/2025,SBC,5. Retorno para Reembarque,Exclusão de Romaneio,
04/06/2025,SBC,5. Retorno para Reembarque,Total Atrasos,
04/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - até 1 dia,
04/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 2 a 5 dias,
04/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 6 a 10 dias,
04/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 11 a 15 dias,
04/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - acima de 15 dias,
04/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 16 a 20 dias,
04/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 21 a 30 dias,
04/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - acima de 30 dias,
04/06/2025,SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Previstas PCP,
04/06/2025,SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Planejadas PCP,
04/06/2025,SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),% Atingimento,
04/06/2025,SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Linhas Faturadas,
04/06/2025,SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Total Linhas Separadas (DUN + FRAC + Bancos),
04/06/2025,SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),% Atingimento Separação x Capacidade,
04/06/2025,SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado FRAC,
04/06/2025,SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado DUN,
04/06/2025,SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado Bancos,
04/06/2025,SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Backlog 18hrs do D-1,
04/06/2025,SBC,8. Pedidos Consolidados,Pedidos Consolidados (sem bancos),
04/06/2025,SBC,8. Pedidos Consolidados,Pedidos Consolidados (Só bancos),
04/06/2025,SBC,8. Pedidos Consolidados,Total Consolidação,
04/06/2025,SBC,8. Pedidos Consolidados,Pedidos Planejados,
04/06/2025,SBC,8. Pedidos Consolidados,% Atingimento,
04/06/2025,SBC,9. Faturamento,Faturamento Realizado,
04/06/2025,SBC,9. Faturamento,% Atingimento,
04/06/2025,SBC,6. Abastecimento,Abastecimento Realizado DUN,
04/06/2025,SBC,6. Abastecimento,Abastecimento Projetado DUN,
04/06/2025,SBC,6. Abastecimento,% Atingimento,
04/06/2025,SBC,10. Coletas em Pulmão,Coletas Totais,
04/06/2025,SBC,10. Coletas em Pulmão,Coletas em Pulmão,
04/06/2025,SBC,10. Coletas em Pulmão,% Coletas em Pulmão,
04/06/2025,SBC,11. Rupturas,Total de Rupturas,
04/06/2025,SBC,11. Rupturas,# Mezanino,
04/06/2025,SBC,11. Rupturas,% Mezanino,
04/06/2025,SBC,11. Rupturas,# DUN,
04/06/2025,SBC,11. Rupturas,% DUN,
04/06/2025,SBC,11. Rupturas,# Painel,
04/06/2025,SBC,11. Rupturas,% Painel de Integração,
04/06/2025,SBC,12. Ocorrências no Cliente,Total de Ocorrências,
04/06/2025,SBC,12. Ocorrências no Cliente,Falta de Item,
04/06/2025,SBC,12. Ocorrências no Cliente,Troca de Item,
04/06/2025,SBC,12. Ocorrências no Cliente,Avaria de Item,
04/06/2025,SBC,12. Ocorrências no Cliente,Sobra de Item,
04/06/2025,SBC,12. Ocorrências no Cliente,Ocorrência Média últimos 30 dias,
04/06/2025,SBC,13. Custos de Avarias e Perdas,Perdas Totais,
04/06/2025,SBC,13. Custos de Avarias e Perdas,R$ Avaria Interna,
04/06/2025,SBC,13. Custos de Avarias e Perdas,R$ Extravios,
04/06/2025,RS,1. Performance de Embarque,% Performance de embarque (Data planejada),
04/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.1 Demanda Total Pedidos (Programados para o dia + passivo),
04/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.2 Pedidos Pendentes de consolidação  (Do dia + passivo),
04/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.2.1 Pedidos da data (com bancos),
04/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.2.2 Pedidos do Passivo,
04/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.3 Pedidos fora de carga (Ainda não estão na etapa do DUN),
04/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.4 Pedidos sem Nota Fiscal (ainda nas primeiras etapas do processo),
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos do dia,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atrasos Transportadoras - Pronto para embarque,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atrasos Operações Próprias - Pronto para embarque,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pendente de consolidação,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pronto Após o horário de corte - Pronto para embarque,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Operação Especial Sodexo,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atraso Transferências,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Total Atrasos,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 1 dia,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 3 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 4 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 5 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 7 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 8 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 9 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 10 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 a 5 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 a 10 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 11 a 15 dias,
04/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - acima de 15 dias,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Atraso de embarque Operações,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Operação Especial Sodexo,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Total Atrasos,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - até 1 dia,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 2 a 5 dias,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 6 a 10 dias,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 11 a 15 dias,
04/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - acima de 15 dias,
04/06/2025,RS,5. Retorno para Reembarque,Retoro para Reembarque,
04/06/2025,RS,5. Retorno para Reembarque,Exclusão de Romaneio,
04/06/2025,RS,5. Retorno para Reembarque,Total Atrasos,
04/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - até 1 dia,
04/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 2 a 5 dias,
04/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 6 a 10 dias,
04/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 11 a 15 dias,
04/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - acima de 15 dias,
04/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 16 a 20 dias,
04/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 21 a 30 dias,
04/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - acima de 30 dias,
04/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Previstas PCP,
04/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Planejadas PCP,
04/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),% Atingimento,
04/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Linhas Faturadas,
04/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Total Linhas Separadas (DUN + FRAC + Bancos),
04/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),% Atingimento Separação x Capacidade,
04/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado FRAC,
04/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado DUN,
04/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado Bancos,
04/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Backlog 18hrs do D-1,
04/06/2025,RS,8. Pedidos Consolidados,Pedidos Consolidados (sem bancos),
04/06/2025,RS,8. Pedidos Consolidados,Pedidos Consolidados (Só bancos),
04/06/2025,RS,8. Pedidos Consolidados,Total Consolidação,
04/06/2025,RS,8. Pedidos Consolidados,Pedidos Planejados,
04/06/2025,RS,8. Pedidos Consolidados,% Atingimento,
04/06/2025,RS,9. Faturamento,Faturamento Realizado,
04/06/2025,RS,9. Faturamento,% Atingimento,
04/06/2025,RS,6. Abastecimento,Abastecimento Realizado DUN,
04/06/2025,RS,6. Abastecimento,Abastecimento Projetado DUN,
04/06/2025,RS,6. Abastecimento,% Atingimento,
04/06/2025,RS,10. Coletas em Pulmão,Coletas Totais,
04/06/2025,RS,10. Coletas em Pulmão,Coletas em Pulmão,
04/06/2025,RS,10. Coletas em Pulmão,% Coletas em Pulmão,
04/06/2025,RS,11. Rupturas,Total de Rupturas,
04/06/2025,RS,11. Rupturas,# Mezanino,
04/06/2025,RS,11. Rupturas,% Mezanino,
04/06/2025,RS,11. Rupturas,# DUN,
04/06/2025,RS,11. Rupturas,% DUN,
04/06/2025,RS,11. Rupturas,# Painel,
04/06/2025,RS,11. Rupturas,% Painel de Integração,
04/06/2025,RS,12. Ocorrências no Cliente,Total de Ocorrências,
04/06/2025,RS,12. Ocorrências no Cliente,Falta de Item,
04/06/2025,RS,12. Ocorrências no Cliente,Troca de Item,
04/06/2025,RS,12. Ocorrências no Cliente,Avaria de Item,
04/06/2025,RS,12. Ocorrências no Cliente,Sobra de Item,
04/06/2025,RS,12. Ocorrências no Cliente,Ocorrência Média últimos 30 dias,
04/06/2025,RS,13. Custos de Avarias e Perdas,Perdas Totais,
04/06/2025,RS,13. Custos de Avarias e Perdas,R$ Avaria Interna,
04/06/2025,RS,13. Custos de Avarias e Perdas,R$ Extravios,
05/06/2025,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),
05/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.1 Demanda Total Pedidos (Programados para o dia + passivo),
05/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2 Pedidos Pendentes de consolidação  (Do dia + passivo),
05/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2.1 Pedidos da data (com bancos),
05/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2.2 Pedidos do Passivo,
05/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.3 Pedidos fora de carga (Ainda não estão na etapa do DUN),
05/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.4 Pedidos sem Nota Fiscal (ainda nas primeiras etapas do processo),
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos do dia,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atrasos Transportadoras - Pronto para embarque,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atrasos Operações Próprias - Pronto para embarque,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pendente de consolidação,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pronto Após o horário de corte - Pronto para embarque,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Operação Especial Sodexo,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Transferências,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Total Atrasos,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 1 dia,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 3 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 4 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 5 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 7 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 8 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 9 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 10 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 a 5 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 a 10 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 11 a 15 dias,
05/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - acima de 15 dias,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso de embarque Operações,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Operação Especial Sodexo,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Total Atrasos,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - até 1 dia,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 2 a 5 dias,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 6 a 10 dias,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 11 a 15 dias,
05/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - acima de 15 dias,
05/06/2025,SBC,5. Retorno para Reembarque,Retoro para Reembarque,
05/06/2025,SBC,5. Retorno para Reembarque,Exclusão de Romaneio,
05/06/2025,SBC,5. Retorno para Reembarque,Total Atrasos,
